Service ID,Service Name,Price (SEK),Currently Assigned To (count),Missing From (count),Missing Category IDs,Missing Category Names
1323,Dry Cleaning,399,11,42,"102, 201, 99, 60, 100, 98, 81, 173, 87, 95, 193, 61, 161, 105, 202, 203, 200, 175, 198, 199, 160, 142, 185, 101, 89, 194, 96, 78, 66, 162, 88, 94, 169, 168, 163, 90, 82, 174, 84, 91, 171, 62","Belt, Bikini, Cap, Coat, Gloves, Hat, Highvis jacket, Jacket, Knitted Jumper, Knitted Jumper, Knitted Jumper, Lined Jacket / Vest, Midlayer, Other, Others, Others, Others, Overall, Overall, Overall, Overalls, Rain Jacket, Rain Trousers, Scarf / Shawl, Shirt / Blouse, Shirt / t-shirt / Body, Shirts/t-shirts, Ski / Shell jacket, Skirt / Dress, Sweater, Sweatshirt / Hoodie, Sweatshirt / Hoodie, Swimming trunks, Swimsuit, T-shirt, Top / T-shirt, Trousers, Trousers, Trousers / Shorts, Trousers / Shorts, Underwear, Unlined Jacket / Vest"
1294,Clean and condition,599,13,41,"201, 99, 81, 85, 93, 103, 87, 95, 193, 161, 105, 202, 200, 199, 160, 142, 185, 101, 89, 194, 96, 80, 78, 66, 86, 92, 195, 162, 88, 94, 196, 169, 168, 163, 90, 82, 84, 91, 104, 171, 170","Bikini, Cap, Highvis jacket, Jacket, Jacket, Jacket, Knitted Jumper, Knitted Jumper, Knitted Jumper, Midlayer, Other, Others, Others, Overall, Overalls, Rain Jacket, Rain Trousers, Scarf / Shawl, Shirt / Blouse, Shirt / t-shirt / Body, Shirts/t-shirts, Ski / Shell Trousers, Ski / Shell jacket, Skirt / Dress, Suit, Suit / Smoking, Suit / Smoking, Sweater, Sweatshirt / Hoodie, Sweatshirt / Hoodie, Sweatshirt / Hoodie, Swimming trunks, Swimsuit, T-shirt, Top / T-shirt, Trousers, Trousers / Shorts, Trousers / Shorts, Trousers / Shorts, Underwear, Wet suit"
1325,Dry cleaning,599,19,39,"201, 99, 100, 98, 85, 93, 103, 87, 95, 193, 161, 105, 200, 199, 185, 101, 89, 194, 96, 80, 78, 66, 86, 92, 195, 162, 88, 94, 196, 169, 168, 163, 90, 82, 84, 91, 104, 171, 62","Bikini, Cap, Gloves, Hat, Jacket, Jacket, Jacket, Knitted Jumper, Knitted Jumper, Knitted Jumper, Midlayer, Other, Others, Overall, Rain Trousers, Scarf / Shawl, Shirt / Blouse, Shirt / t-shirt / Body, Shirts/t-shirts, Ski / Shell Trousers, Ski / Shell jacket, Skirt / Dress, Suit, Suit / Smoking, Suit / Smoking, Sweater, Sweatshirt / Hoodie, Sweatshirt / Hoodie, Sweatshirt / Hoodie, Swimming trunks, Swimsuit, T-shirt, Top / T-shirt, Trousers, Trousers / Shorts, Trousers / Shorts, Trousers / Shorts, Underwear, Unlined Jacket / Vest"
938,Replace zipper,419,48,37,"60, 100, 81, 85, 93, 103, 173, 87, 95, 193, 61, 161, 105, 202, 203, 200, 198, 175, 160, 185, 89, 96, 80, 78, 66, 86, 92, 195, 162, 88, 94, 169, 168, 90, 174, 62, 170","Coat, Gloves, Highvis jacket, Jacket, Jacket, Jacket, Jacket, Knitted Jumper, Knitted Jumper, Knitted Jumper, Lined Jacket / Vest, Midlayer, Other, Others, Others, Others, Overall, Overall, Overalls, Rain Trousers, Shirt / Blouse, Shirts/t-shirts, Ski / Shell Trousers, Ski / Shell jacket, Skirt / Dress, Suit, Suit / Smoking, Suit / Smoking, Sweater, Sweatshirt / Hoodie, Sweatshirt / Hoodie, Swimming trunks, Swimsuit, Top / T-shirt, Trousers, Unlined Jacket / Vest, Wet suit"
1652,Waterproofing,379,12,36,"102, 99, 60, 100, 98, 81, 85, 93, 103, 173, 61, 161, 105, 202, 203, 200, 199, 142, 101, 89, 194, 96, 78, 66, 86, 92, 195, 162, 88, 94, 196, 84, 91, 104, 62, 170","Belt, Cap, Coat, Gloves, Hat, Highvis jacket, Jacket, Jacket, Jacket, Jacket, Lined Jacket / Vest, Midlayer, Other, Others, Others, Others, Overall, Rain Jacket, Scarf / Shawl, Shirt / Blouse, Shirt / t-shirt / Body, Shirts/t-shirts, Ski / Shell jacket, Skirt / Dress, Suit, Suit / Smoking, Suit / Smoking, Sweater, Sweatshirt / Hoodie, Sweatshirt / Hoodie, Sweatshirt / Hoodie, Trousers / Shorts, Trousers / Shorts, Trousers / Shorts, Unlined Jacket / Vest, Wet suit"
1352,Waterwash,59,20,36,"102, 99, 60, 98, 81, 85, 93, 103, 173, 87, 95, 193, 61, 105, 202, 200, 203, 175, 198, 199, 160, 142, 185, 80, 78, 66, 86, 92, 195, 162, 88, 94, 196, 174, 62, 170","Belt, Cap, Coat, Hat, Highvis jacket, Jacket, Jacket, Jacket, Jacket, Knitted Jumper, Knitted Jumper, Knitted Jumper, Lined Jacket / Vest, Other, Others, Others, Others, Overall, Overall, Overall, Overalls, Rain Jacket, Rain Trousers, Ski / Shell Trousers, Ski / Shell jacket, Skirt / Dress, Suit, Suit / Smoking, Suit / Smoking, Sweater, Sweatshirt / Hoodie, Sweatshirt / Hoodie, Sweatshirt / Hoodie, Trousers, Unlined Jacket / Vest, Wet suit"
1420,Repair tear,269,44,33,"102, 201, 99, 60, 100, 98, 81, 85, 93, 173, 61, 161, 202, 203, 200, 175, 198, 160, 142, 185, 101, 80, 78, 86, 92, 162, 169, 168, 163, 82, 171, 62, 170","Belt, Bikini, Cap, Coat, Gloves, Hat, Highvis jacket, Jacket, Jacket, Jacket, Lined Jacket / Vest, Midlayer, Others, Others, Others, Overall, Overall, Overalls, Rain Jacket, Rain Trousers, Scarf / Shawl, Ski / Shell Trousers, Ski / Shell jacket, Suit, Suit / Smoking, Sweater, Swimming trunks, Swimsuit, T-shirt, Trousers, Underwear, Unlined Jacket / Vest, Wet suit"
916,Repair hole,269,41,33,"102, 201, 99, 60, 100, 98, 81, 85, 93, 173, 61, 161, 105, 202, 203, 200, 175, 198, 160, 142, 185, 101, 80, 78, 86, 92, 168, 90, 82, 174, 104, 62, 170","Belt, Bikini, Cap, Coat, Gloves, Hat, Highvis jacket, Jacket, Jacket, Jacket, Lined Jacket / Vest, Midlayer, Other, Others, Others, Others, Overall, Overall, Overalls, Rain Jacket, Rain Trousers, Scarf / Shawl, Ski / Shell Trousers, Ski / Shell jacket, Suit, Suit / Smoking, Swimsuit, Top / T-shirt, Trousers, Trousers, Trousers / Shorts, Unlined Jacket / Vest, Wet suit"
1282,Stain removal,289,25,33,"102, 201, 99, 103, 87, 95, 193, 161, 202, 200, 198, 199, 142, 185, 89, 194, 96, 66, 195, 162, 88, 94, 196, 169, 168, 163, 90, 82, 84, 91, 104, 171, 170","Belt, Bikini, Cap, Jacket, Knitted Jumper, Knitted Jumper, Knitted Jumper, Midlayer, Others, Others, Overall, Overall, Rain Jacket, Rain Trousers, Shirt / Blouse, Shirt / t-shirt / Body, Shirts/t-shirts, Skirt / Dress, Suit / Smoking, Sweater, Sweatshirt / Hoodie, Sweatshirt / Hoodie, Sweatshirt / Hoodie, Swimming trunks, Swimsuit, T-shirt, Top / T-shirt, Trousers, Trousers / Shorts, Trousers / Shorts, Trousers / Shorts, Underwear, Wet suit"
958,Take in waist,314,25,30,"102, 60, 81, 85, 93, 103, 173, 87, 95, 193, 61, 161, 199, 175, 160, 142, 89, 194, 96, 78, 162, 88, 94, 196, 168, 163, 90, 171, 62, 170","Belt, Coat, Highvis jacket, Jacket, Jacket, Jacket, Jacket, Knitted Jumper, Knitted Jumper, Knitted Jumper, Lined Jacket / Vest, Midlayer, Overall, Overall, Overalls, Rain Jacket, Shirt / Blouse, Shirt / t-shirt / Body, Shirts/t-shirts, Ski / Shell jacket, Sweater, Sweatshirt / Hoodie, Sweatshirt / Hoodie, Sweatshirt / Hoodie, Swimsuit, T-shirt, Top / T-shirt, Underwear, Unlined Jacket / Vest, Wet suit"
