Service ID,Service Name,Price (SEK),Missing Category ID,Missing Category Name
1323,Dry Cleaning,399,102,Belt
1323,Dry Cleaning,399,201,Bikini
1323,Dry Cleaning,399,99,Cap
1323,Dry Cleaning,399,60,Coat
1323,Dry Cleaning,399,100,Gloves
1323,Dry Cleaning,399,98,Hat
1323,Dry Cleaning,399,81,Highvis jacket
1323,Dry Cleaning,399,173,Jacket
1323,Dry Cleaning,399,87,Knitted Jumper
1323,Dry Cleaning,399,95,Knitted Jumper
1323,Dry Cleaning,399,193,Knitted Jumper
1323,Dry Cleaning,399,61,Lined Jacket / Vest
1323,Dry Cleaning,399,161,Midlayer
1323,Dry Cleaning,399,105,Other
1323,Dry Cleaning,399,202,Others
1323,Dry Cleaning,399,203,Others
1323,Dry Cleaning,399,200,Others
1323,Dry Cleaning,399,175,Overall
1323,Dry Cleaning,399,198,Overall
1323,Dry Cleaning,399,199,Overall
1323,Dry Cleaning,399,160,Overalls
1323,Dry Cleaning,399,142,Rain Jacket
1323,Dry Cleaning,399,185,Rain Trousers
1323,Dry Cleaning,399,101,Scarf / Shawl
1323,Dry Cleaning,399,89,Shirt / Blouse
1323,Dry Cleaning,399,194,Shirt / t-shirt / Body
1323,Dry Cleaning,399,96,Shirts/t-shirts
1323,Dry Cleaning,399,78,Ski / Shell jacket
1323,Dry Cleaning,399,66,Skirt / Dress
1323,Dry Cleaning,399,162,Sweater
1323,Dry Cleaning,399,88,Sweatshirt / Hoodie
1323,Dry Cleaning,399,94,Sweatshirt / Hoodie
1323,Dry Cleaning,399,169,Swimming trunks
1323,Dry Cleaning,399,168,Swimsuit
1323,Dry Cleaning,399,163,T-shirt
1323,Dry Cleaning,399,90,Top / T-shirt
1323,Dry Cleaning,399,82,Trousers
1323,Dry Cleaning,399,174,Trousers
1323,Dry Cleaning,399,84,Trousers / Shorts
1323,Dry Cleaning,399,91,Trousers / Shorts
1323,Dry Cleaning,399,171,Underwear
1323,Dry Cleaning,399,62,Unlined Jacket / Vest
1294,Clean and condition,599,201,Bikini
1294,Clean and condition,599,99,Cap
1294,Clean and condition,599,81,Highvis jacket
1294,Clean and condition,599,85,Jacket
1294,Clean and condition,599,93,Jacket
1294,Clean and condition,599,103,Jacket
1294,Clean and condition,599,87,Knitted Jumper
1294,Clean and condition,599,95,Knitted Jumper
1294,Clean and condition,599,193,Knitted Jumper
1294,Clean and condition,599,161,Midlayer
1294,Clean and condition,599,105,Other
1294,Clean and condition,599,202,Others
1294,Clean and condition,599,200,Others
1294,Clean and condition,599,199,Overall
1294,Clean and condition,599,160,Overalls
1294,Clean and condition,599,142,Rain Jacket
1294,Clean and condition,599,185,Rain Trousers
1294,Clean and condition,599,101,Scarf / Shawl
1294,Clean and condition,599,89,Shirt / Blouse
1294,Clean and condition,599,194,Shirt / t-shirt / Body
1294,Clean and condition,599,96,Shirts/t-shirts
1294,Clean and condition,599,80,Ski / Shell Trousers
1294,Clean and condition,599,78,Ski / Shell jacket
1294,Clean and condition,599,66,Skirt / Dress
1294,Clean and condition,599,86,Suit
1294,Clean and condition,599,92,Suit / Smoking
1294,Clean and condition,599,195,Suit / Smoking
1294,Clean and condition,599,162,Sweater
1294,Clean and condition,599,88,Sweatshirt / Hoodie
1294,Clean and condition,599,94,Sweatshirt / Hoodie
1294,Clean and condition,599,196,Sweatshirt / Hoodie
1294,Clean and condition,599,169,Swimming trunks
1294,Clean and condition,599,168,Swimsuit
1294,Clean and condition,599,163,T-shirt
1294,Clean and condition,599,90,Top / T-shirt
1294,Clean and condition,599,82,Trousers
1294,Clean and condition,599,84,Trousers / Shorts
1294,Clean and condition,599,91,Trousers / Shorts
1294,Clean and condition,599,104,Trousers / Shorts
1294,Clean and condition,599,171,Underwear
1294,Clean and condition,599,170,Wet suit
